BenchmarkQueryScale_Lookup/n=100000-32   	  200000	      1649 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Lookup/n=100000-32   	  200000	      1715 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Lookup/n=100000-32   	  200000	      1677 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Lookup/n=1000000-32  	  200000	     14022 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Lookup/n=1000000-32  	  200000	     13892 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Lookup/n=1000000-32  	  200000	     13953 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsForPrefix/n=100000-32         	  200000	      1747 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsForPrefix/n=100000-32         	  200000	      1750 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsForPrefix/n=100000-32         	  200000	      1804 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsForPrefix/n=1000000-32        	  200000	     14154 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsForPrefix/n=1000000-32        	  200000	     13991 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsForPrefix/n=1000000-32        	  200000	     14021 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsByPos/n=100000-32             	  200000	        14.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsByPos/n=100000-32             	  200000	        14.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsByPos/n=100000-32             	  200000	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsByPos/n=1000000-32            	  200000	        36.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsByPos/n=1000000-32            	  200000	        37.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_StatsByPos/n=1000000-32            	  200000	        37.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Depth/n=100000-32                  	  200000	        19.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Depth/n=100000-32                  	  200000	        14.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Depth/n=100000-32                  	  200000	        20.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Depth/n=1000000-32                 	  200000	        37.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Depth/n=1000000-32                 	  200000	        36.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueryScale_Depth/n=1000000-32                 	  200000	        37.11 ns/op	       0 B/op	       0 allocs/op
